rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
266,31715,Working!!!: Lord of the Takanashi,Special,1,2016,58186,8.28
267,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,2015,396546,8.28
268,32005,Detective Conan Movie 20: The Darkest Nightmare,Movie,1,2016,16838,8.27
269,6746,Durarara!!,TV,24,2010,797100,8.27
270,35972,Fairy Tail: Final Series,TV,26,2011,93143,8.27
272,33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,2016,62286,8.27
273,23327,Space☆Dandy 2nd Season,TV,13,2014,92277,8.27
274,1519,Black Lagoon: The Second Barrage,TV,12,2006,278536,8.26
275,265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1,2003,57477,8.26
276,25681,Kamisama Hajimemashita◎,TV,12,2015,155468,8.26
277,11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,2012,123027,8.26
278,962,Aria The Natural,TV,26,2006,50759,8.25
279,28223,Death Parade,TV,12,2015,722243,8.25
280,235,Detective Conan,Movie,1,2010,30328,8.25
282,31658,Kuroko no Basket Movie 4: Last Game,Movie,1,2017,86700,8.25
283,31051,Kuroko no Basket: Saikou no Present Desu,Special,1,2015,43453,8.25
284,10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,1,2012,17112,8.25
285,23755,Nanatsu no Taizai,TV,24,2014,732925,8.25
286,9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,2011,42419,8.25
287,37171,Asobi Asobase,TV,12,2018,102621,8.24
288,20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,2014,270744,8.24
289,16782,Kotonoha no Niwa,Movie,1,2013,350216,8.24
290,1453,Maison Ikkoku,TV,96,1986,34679,8.24
291,21557,Omoide no Marnie,Movie,1,2014,108014,8.24
292,1364,Detective Conan Movie 05: Countdown to Heaven,Movie,1,2001,35472,8.23
293,18,Initial D Fourth Stage,TV,24,2004,72171,8.23
294,35062,Mahoutsukai no Yome,TV,24,2017,386535,8.23
295,32902,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,2016,164084,8.23
296,4477,Nodame Cantabile: Paris-hen,TV,11,2008,89884,8.23
297,15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,2012,36756,8.23
298,4722,Skip Beat!,TV,25,2008,173298,8.23
299,3901,Baccano! Specials,Special,3,2008,125635,8.22
300,3701,Kaiba,TV,12,2008,83885,8.22
301,16067,Nagi no Asu kara,TV,26,2013,339490,8.22
302,23623,Non Non Biyori Repeat,TV,12,2015,101776,8.22
303,4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,2008,100384,8.22
304,24277,Yowamushi Pedal: Grande Road,TV,24,2014,77651,8.22
305,24833,Ansatsu Kyoushitsu,TV,22,2015,657655,8.21
306,232,Cardcaptor Sakura,TV,70,1998,252752,8.21
307,3702,Detroit Metal City,OVA,12,2008,142507,8.21
308,27821,Fate/stay night: Unlimited Blade Works - Prologue,Special,1,2014,166512,8.21
309,37675,Overlord III,TV,13,2018,217392,8.21
310,721,Princess Tutu,TV,38,2002,99504,8.21
311,11123,Sekaiichi Hatsukoi 2,TV,12,2011,94802,8.21
312,1559,Shijou Saikyou no Deshi Kenichi,TV,50,2006,180993,8.21
313,440,Shoujo Kakumei Utena,TV,39,1997,113871,8.21
314,2025,Darker than Black: Kuro no Keiyakusha,TV,25,2007,595968,8.2
315,1367,Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,2004,32106,8.2
316,239,Gankutsuou,TV,24,2004,140867,8.2
317,16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,2013,204203,8.2
318,8129,Kuragehime,TV,11,2010,142467,8.2
319,14513,Magi: The Labyrinth of Magic,TV,25,2012,511836,8.2
320,2581,Mobile Suit Gundam 00,TV,25,2007,151569,8.2
321,11597,Nisemonogatari,TV,11,2012,394224,8.2
322,1827,Seirei no Moribito,TV,26,2007,140229,8.2
323,5681,Summer Wars,Movie,1,2009,321155,8.2
324,4938,Tsubasa: Shunraiki,OVA,2,2009,47707,8.2
325,34076,Uchouten Kazoku 2,TV,12,2017,37428,8.2
326,2167,Clannad,TV,23,2007,789278,8.19
327,1506,Detective Conan Movie 10: Requiem of the Detectives,Movie,1,2006,31042,8.19
328,21419,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,1,2014,20831,8.19
329,18689,Diamond no Ace,TV,75,2013,118186,8.19
330,12069,Hajime no Ippo: Boxer no Kobushi,Special,1,2003,28823,8.19
331,7054,Kaichou wa Maid-sama!,TV,26,2010,570934,8.19
332,33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,2016,23223,8.19
333,16662,Kaze Tachinu,Movie,1,2013,127861,8.19
334,1735,Naruto: Shippuuden,TV,500,2007,874387,8.19
335,28025,Tsukimonogatari,TV,4,2014,201974,8.19
336,23283,Zankyou no Terror,TV,11,2014,558204,8.19
337,27833,Durarara!!x2 Ketsu,TV,12,2016,200760,8.18
338,1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,Special,1,2006,72745,8.18
339,3371,Ginga Eiyuu Densetsu Gaiden,OVA,24,1998,12792,8.18
340,8425,Gosick,TV,24,2011,328878,8.18
341,18679,Kill la Kill,TV,24,2013,837058,8.18
342,12031,Kingdom,TV,38,2012,83496,8.18
343,30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,2016,672682,8.18
344,1430,Lupin III: Cagliostro no Shiro,Movie,1,1979,51268,8.18
345,35857,Lupin III: Part 5,TV,24,2018,15414,8.18
346,1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,2002,33410,8.18
347,35838,Shoujo Shuumatsu Ryokou,TV,12,2017,134608,8.18
