rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
629,1254,Saint Seiya,TV,114,1986,103808,7.9
630,400,Seihou Bukyou Outlaw Star,TV,24,1998,100916,7.9
631,17949,The Everlasting Guilty Crown,TV,13,2011,167215,7.9
635,967,Hokuto no Ken,TV,109,1984,67724,7.9
637,1695,Les Misérables: Shoujo Cosette,TV,52,2007,14220,7.9
639,34745,Mahoujin Guruguru (2017),TV,24,2017,21540,7.9
640,17909,Uchouten Kazoku,TV,13,2013,109235,7.9
642,21185,Baby Steps,TV,25,2014,90373,7.9
645,29787,Gochuumon wa Usagi Desu ka??,TV,12,2015,68240,7.9
646,267,Gungrave,TV,26,2003,125114,7.9
647,5630,Higashi no Eden,TV,11,2009,365739,7.9
649,11887,Kokoro Connect,TV,13,2012,434389,7.9
650,569,Musekinin Kanchou Tylor,TV,26,1993,28485,7.9
653,12445,Tasogare Otome x Amnesia,TV,12,2012,241470,7.9
655,35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV,12,2017,258929,7.9
657,33354,Cardcaptor Sakura: Clear Card-hen,TV,22,2018,66518,7.9
658,1472,City Hunter 3,TV,13,1989,9757,7.9
663,12413,Jormungand,TV,12,2012,198392,7.9
664,253,Jungle wa Itsumo Hare nochi Guu,TV,26,2001,25886,7.9
665,4080,Kyou kara Maou! 3rd Series,TV,39,2008,23649,7.9
670,890,Yuusha-Ou GaoGaiGar,TV,49,1997,13179,7.9
671,30123,Akagami no Shirayuki-hime,TV,12,2015,282938,7.9
672,532,Bishoujo Senshi Sailor Moon S,TV,38,1994,85028,7.9
673,28999,Charlotte,TV,13,2015,599120,7.9
675,35222,Gakuen Babysitters,TV,12,2018,68454,7.9
677,35075,Hoozuki no Reitetsu 2nd Season,TV,13,2017,24176,7.9
678,249,InuYasha,TV,167,2000,398779,7.9
680,397,Seikai no Senki II,TV,10,2001,16870,7.9
681,5005,Tentai Senshi Sunred,TV,26,2008,16228,7.9
682,12403,Yuru Yuri♪♪,TV,12,2012,117010,7.9
684,8516,Baka to Test to Shoukanjuu Ni!,TV,13,2011,249087,7.9
686,388,Capeta,TV,52,2005,14094,7.9
688,22777,Dragon Ball Kai (2014),TV,61,2014,79229,7.9
690,1571,Ghost Hunt,TV,25,2006,159807,7.9
691,19319,Gundam Build Fighters,TV,25,2013,45291,7.9
694,35860,Karakai Jouzu no Takagi-san,TV,12,2018,163741,7.9
698,3750,Maria-sama ga Miteru 4th,TV,13,2009,14603,7.9
702,1172,Slayers Try,TV,26,1997,39753,7.9
706,269,Bleach,TV,366,2004,878666,7.8
707,32370,D.Gray-man Hallow,TV,13,2016,117583,7.8
708,6033,Dragon Ball Kai,TV,97,2009,174992,7.8
709,31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",TV,12,2016,277592,7.8
710,1491,Ginga Tetsudou 999,TV,113,1978,18429,7.8
714,97,Last Exile,TV,26,2003,128244,7.8
716,20,Naruto,TV,220,2002,1073428,7.9
717,34914,New Game!!,TV,12,2017,129187,7.8
720,322,Paradise Kiss,TV,12,2005,111775,7.8
721,30240,Prison School,TV,12,2015,428180,7.8
723,7724,Shiki,TV,22,2010,350452,7.8
727,202,Wolf's Rain,TV,26,2003,220223,7.8
728,32998,91 Days,TV,12,2016,284393,7.8
732,17895,Golden Time,TV,24,2013,435225,7.8
735,1425,Lupin III: Part II,TV,155,1977,16474,7.8
737,4087,Michiko to Hatchin,TV,22,2008,110149,7.8
742,5485,Shin Mazinger Shougeki! Z-hen,TV,26,2009,10361,7.8
744,20057,Space☆Dandy,TV,13,2014,186309,7.8
749,33253,Ajin 2nd Season,TV,13,2016,150191,7.8
752,14741,Chuunibyou demo Koi ga Shitai!,TV,12,2012,613328,7.8
