rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
296,4477,Nodame Cantabile: Paris-hen,TV,11,2,89884,8.2
297,15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,2,36756,8.2
298,4722,Skip Beat!,TV,25,2,173298,8.2
299,3901,Baccano! Specials,Special,3,2,125635,8.2
300,3701,Kaiba,TV,12,2,83885,8.2
301,16067,Nagi no Asu kara,TV,26,2,339490,8.2
302,23623,Non Non Biyori Repeat,TV,12,2,101776,8.2
303,4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,2,100384,8.2
304,24277,Yowamushi Pedal: Grande Road,TV,24,2,77651,8.2
305,24833,Ansatsu Kyoushitsu,TV,22,2,657655,8.2
306,232,Cardcaptor Sakura,TV,70,1,252752,8.2
307,3702,Detroit Metal City,OVA,12,2,142507,8.2
308,27821,Fate/stay night: Unlimited Blade Works - Prologue,Special,1,2,166512,8.2
309,37675,Overlord III,TV,13,2,217392,8.2
310,721,Princess Tutu,TV,38,2,99504,8.2
311,11123,Sekaiichi Hatsukoi 2,TV,12,2,94802,8.2
312,1559,Shijou Saikyou no Deshi Kenichi,TV,50,2,180993,8.2
313,440,Shoujo Kakumei Utena,TV,39,1,113871,8.2
314,2025,Darker than Black: Kuro no Keiyakusha,TV,25,2,595968,8.2
315,1367,Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,2,32106,8.2
316,239,Gankutsuou,TV,24,2,140867,8.2
317,16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,2,204203,8.2
318,8129,Kuragehime,TV,11,2,142467,8.2
319,14513,Magi: The Labyrinth of Magic,TV,25,2,511836,8.2
320,2581,Mobile Suit Gundam 00,TV,25,2,151569,8.2
321,11597,Nisemonogatari,TV,11,2,394224,8.2
322,1827,Seirei no Moribito,TV,26,2,140229,8.2
323,5681,Summer Wars,Movie,1,2,321155,8.2
324,4938,Tsubasa: Shunraiki,OVA,2,2,47707,8.2
325,34076,Uchouten Kazoku 2,TV,12,2,37428,8.2
326,2167,Clannad,TV,23,2,789278,8.1
327,1506,Detective Conan Movie 10: Requiem of the Detectives,Movie,1,2,31042,8.1
328,21419,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,1,2,20831,8.1
329,18689,Diamond no Ace,TV,75,2,118186,8.1
330,12069,Hajime no Ippo: Boxer no Kobushi,Special,1,2,28823,8.1
331,7054,Kaichou wa Maid-sama!,TV,26,2,570934,8.1
332,33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,2,23223,8.1
333,16662,Kaze Tachinu,Movie,1,2,127861,8.1
334,1735,Naruto: Shippuuden,TV,500,2,874387,8.1
335,28025,Tsukimonogatari,TV,4,2,201974,8.1
336,23283,Zankyou no Terror,TV,11,2,558204,8.1
337,27833,Durarara!!x2 Ketsu,TV,12,2,200760,8.1
338,1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,Special,1,2,72745,8.1
339,3371,Ginga Eiyuu Densetsu Gaiden,OVA,24,1,12792,8.1
340,8425,Gosick,TV,24,2,328878,8.1
341,18679,Kill la Kill,TV,24,2,837058,8.1
342,12031,Kingdom,TV,38,2,83496,8.1
343,30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,2,672682,8.1
344,1430,Lupin III: Cagliostro no Shiro,Movie,1,1,51268,8.1
345,35857,Lupin III: Part 5,TV,24,2,15414,8.1
346,1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,2,33410,8.1
347,35838,Shoujo Shuumatsu Ryokou,TV,12,2,134608,8.1
